        c12         c13         c14 
  2.6050014   3.3100004   4.0690012 
  1.4309998   1.8049984   2.3139992 
  3.0810013   4.2790012   5.1810007 
  1.6280003   2.0120010   2.5869999 
  1.3680000   1.5459995   2.0690002 
  1.4330006   1.8490009   2.3929996 
  0.4769993   0.4989986   0.6369991 
  1.8590012   2.4460011   3.1030006 
  2.6980000   3.4549999   4.2159996 
  0.6170006   0.7760010   0.9099998 
  6.4799995   9.4209995  10.5249996 
  6.3990002   9.0330009   9.9910011 
  6.1499996   8.4909992   9.6459999 
  4.9500008   6.9600010   7.9880009 
  5.2080002   7.7370014   8.8780003 
  3.9629993   5.4049988   6.4389992 
  5.8880005   8.5970001   9.6590004 
  5.4460011   7.8369999   8.9480000 
  5.9270000   8.1230011   9.3150005 
  5.8029995   9.6900005  10.5629997 
  5.8740005   8.1019993   9.2399998 
  3.9309998   5.4060001   6.3940010 
  5.1389999   7.6299992   8.7059994 
  2.6110001   3.3439999   4.0850010 
  6.2579994   8.4300003   9.6089993 
  6.4359989   9.5149994  10.6449986 
  5.7530003   8.1240005   9.3230000 
  5.6060009   8.8630009   9.9150009 
  5.2099991   7.0930004   8.2689991 
  1.9410000   2.4430008   3.1370010 
  4.2000008   5.5440006   6.5810013 
  4.7150002   6.3239994   7.5000000 
  6.8859997   9.6229992  10.7380009 
  5.3260002   7.7609997   8.9589996 
  4.2040005   5.6730003   6.6760006 
  5.2300014   7.4560013   8.5670013 
  5.3360004   7.8400002   8.9130001 
  2.6040001   3.4510002   4.2790012 
  5.8879986   8.2309990   9.3230000 
  5.0810013   6.9220009   7.9799995 
  5.9150009   8.3420010   9.4560013 
  4.2519989   5.8079987   6.8820000 
  5.5769997   7.2010002   8.5139999 
  4.4449997   6.0359993   7.1229992 
  5.2080002   7.3529987   8.4149990 
  5.6369991   7.1639996   8.3529987 
  4.6639996   6.3549995   7.4020004 
  3.7860012   4.9180012   5.8910007 
  5.3789997   7.5599995   8.6630001 
  5.9500008   8.8230000   9.9200001 
  5.5200005   7.4619999   8.5890007 
  5.6070004   8.2189999   9.5830002 
  4.2320004   5.6749992   6.6840000 
  5.3439999   7.7040005   8.8269997 
  5.0459995   6.9680004   8.0139999 
  5.1089993   6.7909985   7.8389988 
  5.4330006   7.4489994   8.5739994 
  5.9319992   8.3820000   9.4529991 
  3.2030010   4.1100006   4.9070015 
  4.5270004   6.3509998   7.4160004 
  4.8339996   8.2670002   9.2420006 
